sid,label
0,1
1,0
2,1
3,0
4,0
5,0
6,0
7,0
8,1
9,1
10,0
11,1
12,0
13,1
14,1
15,0
16,1
17,0
18,0
19,1
20,1
21,0
22,1
23,1
24,0
25,1
26,0
27,1
28,0
29,0
30,0
31,1
32,0
33,0
34,0
35,0
36,1
37,0
38,0
39,0
40,1
41,0
42,0
43,1
44,0
45,1
46,0
47,1
48,1
49,0
50,0
51,1
52,1
53,1
54,0
55,1
56,0
57,1
58,0
59,0
60,0
61,1
62,0
63,1
64,1
65,1
66,0
67,1
68,0
69,1
70,0
71,1
72,0
73,0
74,1
75,0
76,0
77,0
78,1
79,1
80,1
81,0
82,0
83,1
84,1
85,1
86,1
87,0
88,1
89,0
90,1
91,0
92,0
93,1
94,0
95,1
96,1
97,1
98,0
99,0
100,1
101,0
102,1
103,1
104,1
105,0
106,1
107,1
108,0
109,0
110,1
111,0
112,0
113,1
114,0
115,1
116,1
117,0
118,0
119,0
120,1
121,0
122,0
123,0
124,0
125,1
126,1
127,0
128,0
129,1
130,1
131,0
132,0
133,0
134,0
135,1
136,0
137,0
138,1
139,1
140,0
141,1
142,0
143,1
144,1
145,0
146,0
147,0
148,0
149,1
150,1
151,0
152,0
153,0
154,1
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,1
166,1
167,1
168,1
169,1
170,1
171,0
172,1
173,1
174,0
175,1
176,1
177,1
178,1
179,1
180,0
181,1
182,1
183,1
184,0
185,1
186,0
187,1
188,1
189,1
190,0
191,1
192,1
193,1
194,0
195,1
196,0
197,0
198,0
199,0
200,0
201,1
202,1
203,0
204,0
205,1
206,1
207,1
208,0
209,0
210,0
211,1
212,1
213,1
214,1
215,0
216,0
217,1
218,0
219,1
220,1
221,1
222,1
223,0
224,1
225,1
226,1
227,1
228,1
229,1
230,0
231,1
232,0
233,0
234,0
235,0
236,1
237,1
238,1
239,1
240,0
241,1
242,1
243,0
244,1
245,0
246,1
247,0
248,1
249,1
250,0
251,1
252,1
253,0
254,1
255,1
256,0
257,0
258,1
259,0
260,1
261,1
262,0
263,0
264,0
265,1
266,1
267,0
268,1
269,0
270,0
271,1
272,1
273,1
274,0
275,1
276,1
277,0
278,1
279,0
280,1
281,1
282,0
283,0
284,0
285,0
286,0
287,1
288,0
289,1
290,0
291,1
292,0
293,0
294,1
295,0
296,1
297,1
298,0
299,1
300,1
301,0
302,0
303,0
304,1
305,1
306,1
307,0
308,1
309,1
310,0
311,1
312,1
313,0
314,1
315,1
316,0
317,1
318,1
319,0
320,1
321,0
322,0
323,1
324,1
325,1
326,1
327,0
328,1
329,0
330,1
331,0
332,1
333,0
334,1
335,1
336,1
337,1
338,0
339,1
340,1
341,0
342,1
343,1
344,1
345,1
346,0
347,1
348,0
349,0
350,0
351,0
352,0
353,1
354,0
355,0
356,0
357,1
358,1
359,0
360,0
361,1
362,0
363,0
364,0
365,1
366,0
367,1
368,1
369,0
370,0
371,1
372,0
373,0
374,0
375,1
376,1
377,0
378,1
379,1
380,0
381,1
382,0
383,1
384,1
385,0
386,1
387,0
388,1
389,1
390,1
391,0
392,1
393,0
394,1
395,0
396,0
397,1
398,0
399,1
400,0
401,1
402,0
403,0
404,1
405,1
406,0
407,0
408,1
409,0
410,0
411,1
412,0
413,1
414,1
415,0
416,0
417,1
418,0
419,0
420,1
421,1
422,1
423,0
424,1
425,0
426,0
427,0
428,1
429,0
430,0
431,1
432,1
433,0
434,0
435,1
436,0
437,1
438,1
439,1
440,0
441,1
442,0
443,0
444,1
445,0
446,1
447,1
448,0
449,0
450,1
451,1
452,1
453,1
454,0
455,1
456,1
457,0
458,1
459,0
460,0
461,1
462,1
463,1
464,1
465,1
466,0
467,1
468,0
469,0
470,0
471,0
472,0
473,0
474,1
475,0
476,0
477,0
478,1
479,0
480,0
481,0
482,1
483,1
484,1
485,1
486,1
487,0
488,0
489,1
490,0
491,0
492,1
493,0
494,1
495,1
496,1
497,1
498,1
499,1
500,0
501,0
502,0
503,0
504,0
505,0
506,1
507,1
508,0
509,0
510,1
511,0
512,0
513,0
514,1
515,0
516,1
517,0
518,1
519,0
520,0
521,0
522,0
523,0
524,1
525,0
526,0
527,0
528,0
529,0
530,1
531,1
532,0
533,1
534,0
535,1
536,1
537,0
538,1
539,1
540,0
541,0
542,0
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,0
551,1
552,0
553,1
554,1
555,0
556,1
557,0
558,0
559,1
560,1
561,0
562,1
563,0
564,1
565,1
566,1
567,0
568,0
569,1
570,0
571,0
572,0
573,0
574,1
575,0
576,1
577,0
578,0
579,1
580,0
581,0
582,1
583,1
584,1
585,0
586,1
587,1
588,1
589,0
590,0
591,0
592,0
593,1
594,1
595,1
596,0
597,0
598,0
599,0
600,0
601,1
602,1
603,1
604,0
605,1
606,1
607,0
608,1
609,1
610,0
611,1
612,0
613,0
614,0
615,1
616,1
617,1
618,1
619,1
620,1
621,0
622,0
623,1
624,0
625,1
626,0
627,1
628,1
629,0
630,0
631,0
632,0
633,1
634,1
635,1
636,0
637,0
638,1
639,1
640,1
641,1
642,0
643,1
644,0
645,0
646,1
647,1
648,0
649,0
650,0
651,1
652,0
653,0
654,0
655,1
656,0
657,1
658,0
659,0
660,0
661,0
662,1
663,1
664,1
665,0
666,0
667,0
668,1
669,0
670,0
671,1
672,1
673,1
674,1
675,0
676,0
677,1
678,1
679,1
680,1
681,0
682,0
683,0
684,0
685,1
686,1
687,1
688,0
689,0
690,0
691,1
692,1
693,1
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,1
703,0
704,1
705,0
706,0
707,0
708,0
709,1
710,1
711,1
712,0
713,0
714,0
715,1
716,0
717,0
718,1
719,1
720,0
721,1
722,0
723,1
724,1
725,0
726,1
727,0
728,0
729,0
730,1
731,0
732,1
733,0
734,1
735,0
736,1
737,1
738,0
739,1
740,1
741,0
742,0
743,0
744,1
745,0
746,1
747,0
748,1
749,1
750,1
751,0
752,0
753,0
754,1
755,1
756,0
757,1
758,0
759,0
760,0
761,0
762,0
763,1
764,1
765,1
766,1
767,1
768,1
769,0
770,0
771,1
772,1
773,0
774,0
775,0
776,1
777,0
778,1
779,1
780,1
781,0
782,0
783,0
784,1
785,0
786,0
787,0
788,1
789,0
790,1
791,1
792,1
793,0
794,0
795,0
796,0
797,0
798,1
799,0
800,0
801,1
802,1
803,0
804,0
805,1
806,1
807,1
808,1
809,0
810,1
811,1
812,0
813,1
814,0
815,1
816,0
817,1
818,0
819,1
820,0
821,1
822,1
823,1
824,0
825,1
826,1
827,1
828,1
829,1
830,1
831,0
832,1
833,1
834,1
835,1
836,1
837,0
838,1
839,1
840,1
841,1
842,1
843,0
844,0
845,0
846,1
847,1
848,1
849,0
850,0
851,1
852,0
853,0
854,0
855,0
856,0
857,1
858,0
859,0
860,1
861,1
862,0
863,0
864,1
865,0
866,0
867,0
868,0
869,1
870,1
871,1
872,0
873,0
874,0
875,1
876,1
877,0
878,0
879,0
880,1
881,1
882,1
883,1
884,0
885,1
886,1
887,1
888,0
889,0
890,0
891,1
892,0
893,0
894,1
895,0
896,0
897,0
898,0
899,0
900,1
901,0
902,1
903,1
904,0
905,0
906,0
907,1
908,0
909,0
910,1
911,1
912,0
913,1
914,1
915,1
916,0
917,0
918,0
919,1
920,0
921,0
922,0
923,1
924,0
925,0
926,0
927,1
928,0
929,1
930,1
931,1
932,1
933,0
934,0
935,0
936,1
937,0
938,1
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,1
947,1
948,0
949,1
950,0
951,1
952,1
953,1
954,0
955,0
956,0
957,0
958,1
959,1
960,0
961,0
962,0
963,0
964,0
965,0
966,1
967,0
968,1
969,1
970,0
971,1
972,1
973,1
974,0
975,1
976,1
977,0
978,1
979,1
980,1
981,0
982,0
983,0
984,0
985,1
986,1
987,0
988,0
989,1
990,0
991,0
992,1
993,1
994,1
995,0
996,0
997,0
998,0
999,1
1000,0
1001,0
1002,1
1003,1
1004,1
1005,1
1006,1
1007,0
1008,1
1009,1
1010,1
1011,1
1012,1
1013,1
1014,1
1015,0
1016,0
1017,1
1018,0
1019,0
1020,1
1021,0
1022,0
1023,0
1024,0
1025,0
1026,1
1027,0
1028,0
1029,0
1030,1
1031,1
1032,0
1033,1
1034,0
1035,1
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,1
1043,1
1044,0
1045,1
1046,0
1047,1
1048,0
1049,0
1050,0
1051,1
1052,1
1053,0
1054,1
1055,1
1056,0
1057,0
1058,0
1059,0
1060,1
1061,0
1062,0
1063,1
1064,1
1065,0
1066,0
1067,0
1068,1
1069,1
1070,1
1071,1
1072,1
1073,0
1074,1
1075,1
1076,0
1077,1
1078,1
1079,1
1080,0
1081,0
1082,0
1083,0
1084,1
1085,0
1086,1
1087,1
1088,0
1089,0
1090,1
1091,1
1092,1
1093,1
1094,0
1095,1
1096,1
1097,0
1098,1
1099,1
1100,0
1101,0
1102,1
1103,1
1104,1
1105,0
1106,1
1107,1
1108,0
1109,0
1110,0
1111,0
1112,1
1113,1
1114,1
1115,1
1116,1
1117,0
1118,1
1119,1
1120,1
1121,1
1122,1
1123,0
1124,1
1125,0
1126,1
1127,1
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,1
1135,1
1136,0
1137,0
1138,1
1139,0
1140,0
1141,1
1142,0
1143,1
1144,1
1145,0
1146,0
1147,0
1148,1
1149,1
1150,0
1151,0
1152,0
1153,1
1154,1
1155,0
1156,1
1157,1
1158,1
1159,1
1160,1
1161,0
1162,0
1163,1
1164,1
1165,0
1166,0
1167,0
1168,0
1169,0
1170,1
1171,0
1172,1
1173,0
1174,1
1175,0
1176,1
1177,0
1178,1
1179,0
1180,1
1181,0
1182,0
1183,1
1184,0
1185,1
1186,0
1187,1
1188,0
1189,0
1190,0
1191,0
1192,1
1193,0
1194,1
1195,0
1196,1
1197,1
1198,1
1199,1
1200,1
1201,0
1202,0
1203,1
1204,1
1205,1
1206,0
1207,0
1208,1
1209,1
1210,1
1211,0
1212,1
1213,1
1214,1
1215,1
1216,0
1217,1
1218,0
1219,1
1220,1
1221,0
1222,0
1223,0
1224,1
1225,0
1226,1
1227,1
1228,1
1229,1
1230,0
